端,路由,功能域,是否核心业务流程,核心判断依据,token 采用度,@yimatong/design-tokens import 次数,theme.css / design-tokens/theme 引入次数,var(--ymt-* 出现次数,硬编码数量,菜单层级
admin,/login,认证,否,后台辅助/配置/数据看板,未接入,0,0,0,1,N/A
admin,/reset-password,认证,否,后台辅助/配置/数据看板,未接入,0,0,0,3,N/A
admin,/accounts,渠道,是,渠道与活动投放、码归属直接相关,未接入,0,0,0,0,二级（渠道）
admin,/agency,经销商/代理,否,后台辅助/配置/数据看板,未接入,0,0,0,4,一级（经销商/代理）
admin,/ai-assistant,AI 助手,否,后台辅助/配置/数据看板,未接入,0,0,0,3,一级（AI 助手）
admin,/analytics,数据分析,否,后台辅助/配置/数据看板,未接入,0,0,0,0,一级（数据分析）
admin,/anti-diversion,风控,是,风控直接保护扫码与营销活动,未接入,0,0,0,1,一级（防窜货）
admin,/batches,批次,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,0,二级（商品目录）
admin,/benefits,权益,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,11,二级（增长运营）
admin,/brands/[id],商品,是,商品/SKU/品牌是码生成的前置数据,未接入,0,0,0,0,二级（商品目录）
admin,/brands,商品,是,商品/SKU/品牌是码生成的前置数据,未接入,0,0,0,0,二级（商品目录）
admin,/campaign-analytics,活动,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,0,二级（数据分析）
admin,/campaigns/[id],活动,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,0,二级（增长运营）
admin,/campaigns,活动,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,2,二级（增长运营）
admin,/channel-portal,渠道,是,渠道与活动投放、码归属直接相关,未接入,0,0,0,0,一级（渠道门户）
admin,/channels,渠道,是,渠道与活动投放、码归属直接相关,未接入,0,0,0,0,二级（渠道）
admin,/codes/[id],码管理/页面引擎,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,0,二级（追溯码/页面）
admin,/codes,码管理/页面引擎,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,1,二级（追溯码/页面）
admin,/connectors,集成/导入导出,否,后台辅助/配置/数据看板,未接入,0,0,0,2,二级（集成）
admin,/crm-sync,集成/导入导出,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（集成）
admin,/exports,数据,否,后台辅助/配置/数据看板,未接入,0,0,0,0,一级（数据导出）
admin,/gmv,数据,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（数据分析）
admin,/i18n,设置,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（设置）
admin,/imports,集成/导入导出,否,后台辅助/配置/数据看板,未接入,0,0,0,4,二级（集成）
admin,/integrations,集成/导入导出,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（集成）
admin,/launch-checklist,上线检查,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（治理）
admin,/members,会员,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,2,二级（增长运营）
admin,/pages/[id]/edit,码管理/页面引擎,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,1,二级（追溯码/页面）
admin,/pages/[id],码管理/页面引擎,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,0,二级（追溯码/页面）
admin,/pages,码管理/页面引擎,是,属于码/批次/活动/权益/会员/扫码主链路,未接入,0,0,0,0,二级（追溯码/页面）
admin,/products/[id],商品,是,商品/SKU/品牌是码生成的前置数据,未接入,0,0,0,0,二级（商品目录）
admin,/products,商品,是,商品/SKU/品牌是码生成的前置数据,未接入,0,0,0,0,二级（商品目录）
admin,/regional,渠道,是,渠道与活动投放、码归属直接相关,未接入,0,0,0,0,二级（渠道）
admin,/risk,风控,是,风控直接保护扫码与营销活动,未接入,0,0,0,0,二级（治理）
admin,/risk-center,风控,是,风控直接保护扫码与营销活动,未接入,0,0,0,5,一级（风控中心）
admin,/risk-dashboard,风控,是,风控直接保护扫码与营销活动,未接入,0,0,0,1,二级（风控中心）
admin,/settings/audit-logs,设置,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（设置）
admin,/settings/branding,设置,否,后台辅助/配置/数据看板,未接入,0,0,0,2,二级（设置）
admin,/settings/compliance,设置,否,后台辅助/配置/数据看板,未接入,0,0,0,1,二级（设置）
admin,/settings/crm,设置,否,后台辅助/配置/数据看板,未接入,0,0,0,0,二级（设置）
